series,hidden,intermediate,num_experts,topk,tokens,variant,mode,execution,l2_flush,repetitions,p50_rank0_us_median_of_repetitions,p50_rank0_us_min_repetition,p50_rank0_us_max_repetition,max_rank_p50_us_median_of_repetitions,max_rank_p50_us_min_repetition,max_rank_p50_us_max_repetition
characterization,7168,2048,256,8,64,bf16,kernel,graph,False,3,199.95199888944626,199.6000036597252,199.96800273656845,199.96799528598785,199.8400017619133,200.01599937677383
characterization,7168,2048,256,8,64,ikr,forward,eager,False,3,506.6720247268677,504.94399666786194,509.36001539230347,507.05599784851074,505.0080120563507,509.36001539230347
characterization,7168,2048,256,8,64,ikr,forward,graph,False,3,364.03200030326843,363.8560026884079,365.9839928150177,364.04798924922943,363.9200031757355,365.9839928150177
characterization,7168,2048,256,8,64,ikr,kernel,eager,False,3,188.00000101327896,187.58399784564972,188.1439983844757,188.03200125694275,187.71200627088547,188.20799887180328
characterization,7168,2048,256,8,64,ikr,kernel,graph,False,3,186.95999681949615,186.8320032954216,186.99199706315994,186.99199706315994,186.8479996919632,186.99199706315994
characterization,7168,2048,256,8,512,bf16,forward,eager,False,3,1263.3600234985352,1262.559950351715,1263.424038887024,1263.3600234985352,1262.8159523010254,1263.424038887024
characterization,7168,2048,256,8,512,bf16,forward,graph,False,3,1206.6880464553833,1206.5120339393616,1206.816017627716,1206.704020500183,1206.5120339393616,1206.816017627716
characterization,7168,2048,256,8,512,bf16,kernel,eager,False,3,270.7839906215668,270.7680016756058,270.9919959306717,270.7839906215668,270.7680016756058,270.9919959306717
characterization,7168,2048,256,8,512,bf16,kernel,graph,False,3,265.407994389534,265.392005443573,265.6800001859665,265.4399871826172,265.407994389534,265.6800001859665
characterization,7168,2048,256,8,512,ikr,forward,eager,False,3,1166.6399836540222,1166.4000153541565,1167.3920154571533,1166.6399836540222,1166.6240096092224,1167.3920154571533
characterization,7168,2048,256,8,512,ikr,forward,graph,False,3,1114.4480109214783,1113.3919954299927,1114.7680282592773,1114.4480109214783,1113.3919954299927,1114.7840023040771
characterization,7168,2048,256,8,512,ikr,kernel,eager,False,3,204.70399409532547,204.20800149440765,204.79999482631683,204.75199818611145,204.20800149440765,204.79999482631683
characterization,7168,2048,256,8,512,ikr,kernel,graph,False,3,203.0079960823059,202.86399871110916,203.16799730062485,203.10400426387787,202.92799919843674,203.16799730062485
characterization,7168,2048,256,8,1024,bf16,forward,eager,False,3,2213.871955871582,2213.2320404052734,2215.0079011917114,2213.871955871582,2213.487982749939,2215.1360511779785
characterization,7168,2048,256,8,1024,bf16,forward,graph,False,3,2147.5040912628174,2147.3441123962402,2147.647976875305,2147.536039352417,2147.5040912628174,2148.0319499969482
characterization,7168,2048,256,8,1024,bf16,kernel,eager,False,3,431.61599338054657,431.36000633239746,433.02400410175323,431.96798861026764,431.36000633239746,433.02400410175323
