run,seed,M,N,K,cute_pre_us,triton_pre_us,cute_chain_us,triton_chain_us
1,73,1,2048,7168,1.9512640237808228,1.9138879776000977,21.155616760253906,20.573888778686523
1,73,1,4096,4096,1.8571840524673462,1.4920320510864258,18.497535705566406,18.45471954345703
1,73,2,4096,4096,2.063744068145752,1.610751986503601,19.09507179260254,18.461856842041016
1,73,3,4096,4096,2.072864055633545,1.6222079992294312,18.8920955657959,18.499103546142578
1,73,4,2048,7168,1.9884799718856812,1.9906560182571411,20.547712326049805,20.553823471069336
1,73,7,4096,4096,2.0700159072875977,1.6507519483566284,18.612064361572266,18.503936767578125
1,73,8,4096,4096,2.100640058517456,1.652959942817688,18.49728012084961,18.499391555786133
1,73,16,2048,7168,2.0245440006256104,2.027616024017334,20.900352478027344,20.698400497436523
1,73,24,4096,4096,2.1517438888549805,1.706272006034851,16.985088348388672,16.243392944335938
1,73,128,4096,4096,2.2967679500579834,2.0676798820495605,17.311487197875977,16.7706241607666
1,73,256,2048,7168,3.044032096862793,2.8744959831237793,24.52364730834961,23.981632232666016
1,73,512,4096,4096,3.103584051132202,2.65120005607605,20.277568817138672,19.456735610961914
1,73,1024,4096,4096,4.302303791046143,3.992703914642334,38.01091384887695,38.029823303222656
1,73,4096,2048,7168,23.046592712402344,17.407039642333984,133.9344940185547,131.23663330078125
1,73,16384,4096,4096,93.06527709960938,91.65776062011719,558.8541870117188,565.8392944335938
1,109,1,2048,7168,1.94159996509552,1.9432640075683594,21.401504516601562,20.590784072875977
1,109,1,4096,4096,1.8581759929656982,1.6164799928665161,18.59382438659668,18.498624801635742
1,109,2,4096,4096,2.067647933959961,1.6142719984054565,19.60393524169922,18.51478385925293
1,109,3,4096,4096,2.0604159832000732,1.6196479797363281,19.062496185302734,18.504863739013672
1,109,4,2048,7168,2.0066559314727783,1.9884799718856812,20.556640625,20.557952880859375
1,109,7,4096,4096,2.094464063644409,1.6514559984207153,18.569055557250977,18.498207092285156
1,109,8,4096,4096,2.1010239124298096,1.6519360542297363,18.517791748046875,18.498720169067383
1,109,16,2048,7168,2.055840015411377,2.066783905029297,21.56787109375,21.10883140563965
1,109,24,4096,4096,2.1519360542297363,1.721343994140625,17.05379295349121,16.241535186767578
1,109,128,4096,4096,2.305759906768799,2.05948805809021,17.35647964477539,16.79631996154785
1,109,256,2048,7168,3.0492160320281982,2.883296012878418,24.52579116821289,23.84943962097168
1,109,512,4096,4096,3.1358399391174316,2.685215950012207,20.279584884643555,19.608928680419922
1,109,1024,4096,4096,4.299488067626953,3.97654390335083,38.38489532470703,38.3658561706543
1,109,4096,2048,7168,22.2989444732666,17.466815948486328,136.3098602294922,132.0747833251953
1,109,16384,4096,4096,92.87213134765625,91.6628189086914,574.3744506835938,566.1883544921875
2,73,1,2048,7168,1.896224021911621,1.894752025604248,20.91155242919922,20.55308723449707
2,73,1,4096,4096,1.854688048362732,1.6093440055847168,18.52284812927246,18.491840362548828
2,73,2,4096,4096,2.0615360736846924,1.608672022819519,19.251039505004883,18.463552474975586
2,73,3,4096,4096,2.0193281173706055,1.6503360271453857,18.751680374145508,18.4998722076416
2,73,4,2048,7168,1.9534080028533936,1.979200005531311,20.549760818481445,20.546720504760742
2,73,7,4096,4096,2.0680959224700928,1.6489919424057007,18.566783905029297,18.491167068481445
2,73,8,4096,4096,2.100224018096924,1.6504640579223633,18.497888565063477,18.4932804107666
2,73,16,2048,7168,2.0572800636291504,2.0221760272979736,21.005504608154297,20.849279403686523
2,73,24,4096,4096,2.1433279514312744,1.7132480144500732,17.07529640197754,16.258207321166992
2,73,128,4096,4096,2.3127360343933105,2.0656960010528564,17.362655639648438,16.785503387451172
2,73,256,2048,7168,3.329119920730591,3.329792022705078,24.585439682006836,24.551040649414062
2,73,512,4096,4096,3.136320114135742,2.6766719818115234,20.398239135742188,20.040767669677734
2,73,1024,4096,4096,4.326111793518066,3.9409279823303223,38.25785446166992,37.1748161315918
2,73,4096,2048,7168,23.283872604370117,17.405183792114258,139.3185577392578,132.42189025878906
2,73,16384,4096,4096,93.22406768798828,91.6607666015625,559.1828002929688,567.5263671875
2,109,1,2048,7168,1.9343359470367432,1.9103039503097534,21.015296936035156,20.612384796142578
2,109,1,4096,4096,1.8232959508895874,1.6066880226135254,18.50873565673828,18.493440628051758
2,109,2,4096,4096,2.0571200847625732,1.6067839860916138,19.224096298217773,18.457504272460938
2,109,3,4096,4096,2.035007953643799,1.6485439538955688,18.867935180664062,18.49203109741211
2,109,4,2048,7168,1.9351040124893188,1.977471947669983,20.541120529174805,20.540767669677734
2,109,7,4096,4096,2.071712017059326,1.6499199867248535,18.604480743408203,18.495136260986328
2,109,8,4096,4096,2.100127935409546,1.6485120058059692,18.50339126586914,18.490495681762695
2,109,16,2048,7168,2.0183680057525635,2.0275518894195557,21.226240158081055,21.025760650634766
2,109,24,4096,4096,2.1572160720825195,1.7000319957733154,17.083839416503906,16.263872146606445
2,109,128,4096,4096,2.304255962371826,2.060192108154297,17.357440948486328,16.77724838256836
2,109,256,2048,7168,3.0466880798339844,2.8808319568634033,24.438783645629883,24.372032165527344
2,109,512,4096,4096,3.1343040466308594,2.9108800888061523,20.325183868408203,19.94428825378418
2,109,1024,4096,4096,4.285791873931885,3.986527919769287,38.55043029785156,38.42505645751953
2,109,4096,2048,7168,25.433504104614258,18.886816024780273,143.2442169189453,132.70912170410156
2,109,16384,4096,4096,93.50466918945312,91.47283172607422,569.9669189453125,561.9817504882812
