run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
forward.jsonl,73,24,4096,32.0,cute_default,2.040960043668747,1.6723200678825378,1.2204362567106992
forward.jsonl,73,24,4096,32.0,cute_no_pdl,2.2047999501228333,1.6723200678825378,1.3184078768572765
forward.jsonl,73,128,4096,1.0,cute_default,2.2047999501228333,2.040960043668747,1.0802759010213518
forward.jsonl,73,128,4096,1.0,cute_no_pdl,2.3686400055885315,2.040960043668747,1.160551875053252
forward.jsonl,73,128,4096,32.0,cute_default,2.2047999501228333,2.245759963989258,0.9817611790559908
forward.jsonl,73,128,4096,32.0,cute_no_pdl,2.4092800170183177,2.245759963989258,1.072812791950655
forward.jsonl,73,256,7168,1.0,cute_default,3.269760012626648,3.187839984893799,1.0256976598954286
forward.jsonl,73,256,7168,1.0,cute_no_pdl,3.433600068092346,3.187839984893799,1.0770929796862858
forward.jsonl,73,256,7168,32.0,cute_default,3.3926400542259216,3.2287999987602234,1.0507433274060358
forward.jsonl,73,256,7168,32.0,cute_no_pdl,3.55648010969162,3.2287999987602234,1.1014866548120716
forward.jsonl,73,512,4096,1.0,cute_default,3.0239999294281006,2.614400088787079,1.1566706803590459
forward.jsonl,73,512,4096,1.0,cute_no_pdl,3.187839984893799,2.614400088787079,1.2193389980998512
forward.jsonl,73,512,4096,32.0,cute_default,3.0643200874328613,2.614400088787079,1.1720930168934158
forward.jsonl,73,512,4096,32.0,cute_no_pdl,3.2287999987602234,2.614400088787079,1.2350060775350526
forward.jsonl,73,1024,4096,1.0,cute_default,4.212479889392853,3.843199908733368,1.096086591754003
forward.jsonl,73,1024,4096,1.0,cute_no_pdl,4.416640102863312,3.843199908733368,1.149209046562175
forward.jsonl,73,1024,4096,32.0,cute_default,4.211840033531189,4.170880019664764,1.0098204728194786
forward.jsonl,73,1024,4096,32.0,cute_no_pdl,4.416640102863312,4.170880019664764,1.0589228369168722
forward.jsonl,73,4096,7168,1.0,cute_default,22.746560573577877,16.929919719696045,1.3435716737105865
forward.jsonl,73,4096,7168,1.0,cute_no_pdl,22.736001014709473,16.929919719696045,1.3429479519775105
forward.jsonl,73,4096,7168,32.0,cute_default,25.552000999450684,16.643199920654297,1.5352817439716337
forward.jsonl,73,4096,7168,32.0,cute_no_pdl,25.746560096740723,16.643199920654297,1.5469717493923214
forward.jsonl,73,16384,4096,1.0,cute_default,93.13599586486816,91.66464328765869,1.0160514733318944
forward.jsonl,73,16384,4096,1.0,cute_no_pdl,92.99263954162598,91.66464328765869,1.0144875516484564
forward.jsonl,73,16384,4096,32.0,cute_default,92.85312175750732,91.28928184509277,1.0171305971611015
forward.jsonl,73,16384,4096,32.0,cute_no_pdl,92.75808334350586,91.28928184509277,1.0160895284608051
forward.jsonl,109,1,4096,1.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
forward.jsonl,109,1,4096,1.0,cute_no_pdl,1.959040015935898,1.5904000401496887,1.2317907233902692
forward.jsonl,109,1,4096,32.0,cute_default,1.8361599743366241,1.5904000401496887,1.154527117695372
forward.jsonl,109,1,4096,32.0,cute_no_pdl,2.0000000298023224,1.5904000401496887,1.2575452586219011
forward.jsonl,109,1,7168,1.0,cute_default,1.9180800020694733,1.7951999604701996,1.068449222540696
forward.jsonl,109,1,7168,1.0,cute_no_pdl,2.122880071401596,1.7951999604701996,1.1825312601085232
forward.jsonl,109,1,7168,32.0,cute_default,1.9180800020694733,1.7951999604701996,1.068449222540696
forward.jsonl,109,1,7168,32.0,cute_no_pdl,2.122880071401596,1.7951999604701996,1.1825312601085232
forward.jsonl,109,2,4096,1.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
forward.jsonl,109,2,4096,1.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
forward.jsonl,109,2,4096,32.0,cute_default,1.959040015935898,1.5904000401496887,1.2317907233902692
forward.jsonl,109,2,4096,32.0,cute_no_pdl,2.122880071401596,1.5904000401496887,1.3348088643167981
forward.jsonl,109,3,4096,1.0,cute_default,1.959040015935898,1.6313600540161133,1.2008630535687668
forward.jsonl,109,3,4096,1.0,cute_no_pdl,2.1638399362564087,1.6313600540161133,1.3264024277960136
forward.jsonl,109,3,4096,32.0,cute_default,1.959040015935898,1.6313600540161133,1.2008630535687668
forward.jsonl,109,3,4096,32.0,cute_no_pdl,2.122880071401596,1.6313600540161133,1.301294626024126
forward.jsonl,109,4,7168,1.0,cute_default,2.0000000298023224,1.8771199882030487,1.0654620068890246
forward.jsonl,109,4,7168,1.0,cute_no_pdl,2.1638399362564087,1.8771199882030487,1.152744603357953
forward.jsonl,109,4,7168,32.0,cute_default,2.006400004029274,1.8771199882030487,1.0688714715301626
