arch,model,campaign,hardware_cohort,source_cohort,hidden_size,intermediate_size,num_experts,top_k,num_tokens,activation,status,source_us,export_us,source_over_export,official_us,official_export_us,official_over_export,source_directional_disagreement,source_endpoint_drift,official_directional_disagreement,official_endpoint_drift
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,19,swiglu,PASS,66.271,66.11200000000001,1.002405009680542,55.328,66.11200000000001,0.8368828654404646,3.6306575450284484e-05,0.00046890125847021125,0.00017282887352410015,0.0005960982658959058
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,20,swiglu,PASS,68.095,67.839,1.0037736405312578,55.80800000000001,67.839,0.8226536358142073,0.00022199192166749704,0.0009540864255518366,8.20879629033211e-05,0.0005551675352352126
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,21,swiglu,PASS,69.664,69.98400000000001,0.9954275262917238,56.800000000000004,69.98400000000001,0.8116140832190215,0.0004360589546543725,0.00045934772622879816,0.0002141149529047981,0.0005636978579481866
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,22,swiglu,PASS,71.327,71.232,1.001333670260557,58.272,71.232,0.8180592991913745,0.0004257730888894695,0.00046306690615161017,4.600944638499804e-05,0.0005317050580587734
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,23,swiglu,PASS,73.215,73.247,0.9995631220391278,58.272,73.247,0.7955547667481261,0.0004250444900140149,0.0004437011502098631,1.8761622941676492e-05,0.0005317050580587734
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,24,swiglu,PASS,74.944,74.944,1.0,58.784000000000006,74.944,0.7843723313407345,1.9944959367856896e-05,0.0008402800933643428,7.616665606913209e-05,0.0005440696409140244
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,25,swiglu,PASS,76.864,76.89500000000001,0.9995968528512906,60.544000000000004,76.89500000000001,0.7873593861759541,0.00038959887719769437,0.00041631973355538143,0.0004097387922835649,0.001040033016921016
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,26,swiglu,PASS,78.719,78.719,1.0,62.303,78.719,0.791460765507692,0.0003928246492519438,0.0008003048780489408,0.000122077300895862,0.0010272213662044782
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,27,swiglu,PASS,80.76700000000001,80.768,0.999987618858954,62.751000000000005,80.768,0.7769289817749603,9.816688129049567e-09,0.0007797126202055971,1.4217964137364092e-05,0.001004977029096521
sm_100a,Qwen3-30B-A3B,sm_100a_c02,sm_100a_gpu02,sm_100a_source02,2048,768,128,8,28,swiglu,PASS,82.271,82.271,1.0,63.455,82.271,0.7712924359737939,1.2136069612589395e-05,0.0001945158682399306,0.00027173023084514636,0.0004885351824127637
